id,caption,timestamp,ownerUsername,locationName,type,productType,firstComment,likesCount,commentsCount,videoPlayCount,videoViewCount,videoDuration,hashtags/0,hashtags/1,hashtags/2,hashtags/3,hashtags/4,hashtags/5,hashtags/6,hashtags/7,hashtags/8,hashtags/9,hashtags/10,hashtags/11,hashtags/12,hashtags/13,hashtags/14,hashtags/15,hashtags/16,hashtags/17,hashtags/18,hashtags/19,hashtags/20,hashtags/21,hashtags/22,hashtags/23,hashtags/24,hashtags/25,hashtags/26,hashtags/27,hashtags/28
3501449477940994097,"Un detalle sobre la N de inglés

#pronunciacion #inglesamericano #aprenderingles #profekyle",2024-11-14 23:02:54,profekyle,-,Video,clips,Genius !!,288,12,3924,1292,63.089,pronunciacion,inglesamericano,aprenderingles,profekyle,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3505112548416836259,"Así es cómo los gringos pronuncian MOUNTAIN 

#pronunciacion #inglesamericano #aprenderingles #profekyle",2024-11-20 00:22:31,profekyle,-,Video,clips,,296,21,4790,2067,71.285,pronunciacion,inglesamericano,aprenderingles,profekyle,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3494976201094038293,"¿Conoces los mellizos en inglés?

#pronunciacion #inglesamericano #aprenderingles #profekyle",2024-11-06 00:41:44,profekyle,-,Video,clips,Si,249,27,6854,2561,72.609,pronunciacion,inglesamericano,aprenderingles,profekyle,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3495648308672918650,"Si quieres sonar más gringo, baja la mandíbula más

#pronunciacion #aprendeingles #inglesamericano #profekyle",2024-11-06 23:05:01,profekyle,-,Video,clips,Puedes explicar los tipos de A con ejemplos para ver la diferencia please!,378,28,7093,2326,80.016,pronunciacion,aprendeingles,inglesamericano,profekyle,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3499292577719895601,"No digas la O de inglés como la O de inglés

#pronunciacion #inglesamericano #aprenderingles #profekyle",2024-11-11 23:42:06,profekyle,-,Video,clips,"Gracias a ti profe ….estoy  notando la diferencia!!
Pero como paro con muchos norte americanos mi oído escucha la diferencia.
Gracias .",546,67,7726,2566,55.078,pronunciacion,inglesamericano,aprenderingles,profekyle,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3500153768182762233,"No digas la D en inglés como la D de español

#pronunciacion #inglesamericano #aprendeingles #profekyle",2024-11-13 04:09:46,profekyle,-,Video,clips,En vez de decir SABER DICES SEBER....JAKA TE CUESTA LA A,1121,132,12487,4660,58.862,pronunciacion,inglesamericano,aprendeingles,profekyle,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3504367800659795727,"¿Sabes pronunciar BUTTON como gringo?

#pronunciacion #inglesamericano #aprendeingles #profekyle",2024-11-18 23:41:39,profekyle,-,Video,clips,It easy,449,18,8164,3431,80.968,pronunciacion,inglesamericano,aprendeingles,profekyle,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3500767708875029213,"No digas la B en inglés como si fuera la B de español

Profekyle.com para conocer lo que hago

#pronunciacion #inglesamericano #aprenderingles #profekyle",2024-11-14 00:28:56,profekyle,-,Video,clips,"Gracias, muy buena la explicación!",342,22,4839,1730,56.493,pronunciacion,inglesamericano,aprenderingles,profekyle,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3491808729688892393,"QUEDAN 3 DÍAS

Para más información, visita https://www.profekyle.com/clases-grupales-b1/",2024-11-01 15:47:39,profekyle,-,Image,0,Hola que valor tienen las clases individuales,19,11,0,0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3491389532239308299,"¿Sabes pronunciar EDUCATION en inglés gringo?

#pronunciacion #inglesamericano #aprenderingles #profekyle",2024-11-01 01:56:27,profekyle,-,Video,clips,"Easy teacher,. Yo la pronunciaba a lo español: E-du-kei-chon,  ahora lo escucho Ed-iu-kei-shon. Yo me entiendo",265,9,7723,2121,61.37,pronunciacion,inglesamericano,aprenderingles,profekyle,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
